"Abbreviation","Species","Relative_frequency","p05_mat","p50_mat","p95_mat","iqr_mat","p05_mwmt","p50_mwmt","p95_mwmt","iqr_mwmt","p05_mcmt","p50_mcmt","p95_mcmt","iqr_mcmt","p05_td","p50_td","p95_td","iqr_td","p05_map","p50_map","p95_map","iqr_map","p05_msp","p50_msp","p95_msp","iqr_msp","p05_ahm","p50_ahm","p95_ahm","iqr_ahm","p05_shm","p50_shm","p95_shm","iqr_shm","p05_ffp","p50_ffp","p95_ffp","iqr_ffp","p05_pas","p50_pas","p95_pas","iqr_pas","p05_emt","p50_emt","p95_emt","iqr_emt","p05_ext","p50_ext","p95_ext","iqr_ext","p05_eref","p50_eref","p95_eref","iqr_eref","p05_cmd","p50_cmd","p95_cmd","iqr_cmd","p05_rh","p50_rh","p95_rh","iqr_rh","p05_rh_sm","p50_rh_sm","p95_rh_sm","iqr_rh_sm","p05_hi","p50_hi","p95_hi","iqr_hi"
"Parsqu","Parmelia_squarrosa",0.08,0.67,5.95,12.17,3.69,13.19,18.8,23.41,3.57,-15.92,-6.68,3.39,8.79,12.27,25.5,33.8,7.55,673.5,1125.5,2652.16,490.38,255.38,482,795.59,101.12,6.13,14.87,21.04,6.37,18.22,40.05,57.84,9.77,102,133,203.15,30.14,18,178,446.67,179.5,-42.73,-32.57,-18.18,9.7,29.26,35.53,39.02,3.32,353,675,1062.2,199.5,0,102,236.3,103.12,56,63,78,8,54,63.26,79,8.88,12.47,18.31,23.55,3.73
"Parsul","Parmelia_sulcata",0.32,-9,5.45,12.07,6.51,10.8,17.72,23.1,5.7,-26.71,-7.26,4.82,11.23,12.35,26.2,40.5,10.8,269.48,803.25,2039.78,617.06,107.98,383.3,611,246.25,3,17.4,39.07,9.8,24.09,47.1,149.77,27.87,64,127.15,223.05,51.27,18.63,139.67,482.1,169.27,-51.8,-35.64,-14.4,13.75,26.6,35.4,40.6,5.58,213.9,666.08,1039.73,374.58,0,140.25,599.62,157,52,62,75,8,35,61.5,77,11.34,9.84,16.97,23.04,6.13
"Pclchl","Physciella_chloantha",0.03,3.72,9.1,18.11,6.52,18.09,22.93,27.57,4.68,-14,-4.5,8.73,9.12,17.29,27.23,34.28,6.65,394.15,821,1263.2,422.75,194.5,478,603.1,142.67,16.62,22.6,47.51,7.02,39.53,48.6,103.67,13.85,114.95,155,248.7,47.58,1,49,225.4,73.15,-41.25,-32.9,-16.03,9.72,35.1,40,43.1,2.55,654.9,903,1391.8,359.75,93.3,217,726.2,198,50,59,66.7,5.32,37.3,61.67,68,6.5,17.4,22.87,29.2,5.23
"Pclmel","Physciella_melanchra",0.01,4.6,8.85,15.35,4.29,18.97,23.2,26.9,3.1,-13.11,-4.7,5.85,7.65,19.95,27.8,34.1,5.52,358.5,608,1108.67,316.12,154.5,384,550,136.32,17.85,30.8,57,15.55,41.6,60,149.1,23.8,120.5,149.5,210,25.29,3,44,205.5,59.5,-41,-34.3,-19.4,4.75,36.3,40.7,43.5,2.08,687.5,921.33,1357.5,297.75,110.5,342,885.1,366.42,48,56,63,7,38.5,59,66,8,18.4,22.94,28.3,3.61
"Pclnep","Physciella_nepalensis",0,3.58,8.1,20.26,5.3,13.43,20.2,27.38,5.1,-6.79,-2.1,11.36,6.7,16.64,22.1,26.01,4.4,252,442,841.5,327,112.1,209,456.57,186.5,15.21,47.5,79.89,35.6,38.06,84.8,205.14,89.55,65.05,132,287.8,59.5,0.1,46,363.7,98.5,-39.39,-32.9,-10.97,11.55,31.15,38.3,42.54,3.45,720.2,969,1753.67,388.5,306.9,689,1209.7,346.25,47.1,51,61.8,4,25.1,40.67,55.8,22.17,11.89,19.36,28.28,5.56
"Pcyano","Lobaria_anomala",0.04,2.78,8.07,14.24,5.21,13.03,15.89,21.21,4.66,-7.27,2.25,9.28,6.35,9.64,15.07,21.65,4.8,587.35,1765,3339.05,1035.12,51,322.25,863.1,365.11,5.05,11,33.95,9.16,15.39,48.63,422.41,88.13,101.93,176.5,302.22,76,3.43,156,734.78,300.38,-37.52,-19.24,-8.67,11.88,29.3,34.41,41.09,7.2,367.85,699.5,1149.18,451.48,0,183.25,753.68,423.7,57.28,68,80,10,39.85,60,79,21.75,12.16,15.19,20.7,4.62
"Pcyant","Lobaria_anthraspis",0.02,6.33,10.3,14.35,3.55,14.15,17.6,22.55,4.74,-2.18,4.33,9.08,4.49,8.07,13.6,21.45,6.78,572,1636.5,3002.5,1152.5,46.92,218.5,627.25,230.58,5.9,12.1,36.35,10.28,23.95,86.1,418.06,116.6,134,209.5,314.67,76.42,3.25,49,393.5,108.6,-27.8,-15.13,-7.17,8.46,31.33,36.95,41.67,6.31,466.25,835.67,1158.25,344.25,4.5,357,768.75,437.42,56.88,66,80,11,39.25,56,79.25,24.5,13.64,16.73,21.91,4.65
"Pcyaur","Pseudocyphellaria_aurata",0,7.37,16.67,22.21,4.7,14.97,26.45,28.16,6.74,-2.59,9.87,16,7.74,2.72,17.4,24.97,6.44,883.23,1382.25,1850.22,267,460.2,640.72,1281.6,236.38,10.44,18.87,25.21,5.52,14.67,38.4,53.64,12.72,147.25,271.5,334.95,105,0,2,188.2,5,-28.59,-15.35,-5.41,9.59,28.24,39.25,41.03,4.38,713.55,1420.5,1612.2,321.54,55.18,238.5,740.09,202.25,55.54,62,69.55,4,57.35,66,75.1,5.88,14.27,27.52,30.52,8.78
"Pcycro","Pseudocyphellaria_crocata",0.02,0.24,6.9,13.49,5.4,12.39,16.33,22.29,4.42,-14.49,-0.7,7.08,10.74,9.04,17.5,31.91,11.65,510.7,1405,3856.65,1400.5,185.2,474,1028.4,251.5,4.34,11.9,27.94,9.44,13.76,38.4,102.8,16.18,101.45,152,259.73,64.5,4.7,190.33,604.35,299,-42.8,-25.5,-11.12,17.85,28.1,34.25,39.1,5.8,360.09,641,1061.83,335.75,0,102,472.4,144.18,56.7,67,79.33,10.25,50.9,66,79,13.88,11.75,15.69,22.37,4.51
"Pcymal","Pseudocyphellaria_mallota",0,4.62,5.6,10.4,4.1,12.74,13.3,15.9,2.2,-2.88,-1.2,5.88,5.8,9.34,14.5,15.68,2.5,1816.4,3148,3753.2,1064,308.4,840,1144,382,4.64,5,10.96,2,11.48,15.1,55.88,13.6,139,149,244.6,48,57.8,521,729,348,-28.52,-25.3,-12.1,10.5,29.02,29.6,34.2,3.9,381.2,426,714,236,0,0,189,73,72,74,76.8,4,64,74,74.8,2,12.02,12.62,15.22,2.37
"Pcyper","Pseudocyphellaria_hawaiiensis",0,0.9,6.22,11.45,2.89,12.75,18.23,20.93,2.61,-13.28,-6.68,4.95,7.46,10.23,24.2,30.55,9.06,721.75,1238,1949.35,239.75,241.5,474.5,738.31,43.75,6.77,13.07,19.62,2.07,24.39,38.44,65.91,6.59,102,133.5,239.5,27.62,15.9,289,437.5,210.44,-39.6,-32.58,-12.68,8.82,28,34.76,37.09,2.31,353.75,630,1092.44,145.69,6.38,80.75,253.25,75.62,58,65.21,74,6.05,51.75,65,74,7,11.92,17.85,20.74,2.69
"Pcyrai","Pseudocyphellaria_rainierensis",0,3.98,6.85,10.55,2.19,13.7,15.5,18.4,2.27,-7.85,0.31,4.6,3.14,11.5,15.3,24.45,2.95,886.5,2444,3351.65,993.56,210,442,962.75,236.94,4.86,7.1,18.75,4.5,14.53,36.9,93.15,21.85,107.83,162.07,223.5,50.55,36,311.33,691.58,158.5,-33.93,-22.4,-14.3,6.51,30.3,33.41,39.05,4.04,416.5,617.8,909.75,244.07,0,107.43,366.5,199.96,57.25,69,81,10,40.25,62,79.5,18.38,13.08,14.34,17.74,2.28
"Pelbri","Peltigera_britannica",0.02,-3.52,5.72,10.7,4.2,10.87,14.43,18.85,2.59,-20.73,-1.3,4.33,5.7,11.13,15.57,36.72,4.55,374.9,1909.77,4273.3,1971.75,128.7,424.5,1429.98,475.5,3.77,8.8,25.96,8.98,9.44,34.52,126.53,38.7,75.85,149,226.9,51.21,24.43,289,994.8,412.25,-49.88,-25.17,-13.57,11.9,26.48,31.84,39.03,5.15,304.5,472,884.35,290.12,0,79.75,516.9,204.75,58,70.67,82,10,41.85,68,81.15,16.88,9.96,13.61,18.12,2.72
"Pelcol","Peltigera_collina",0.06,-0.16,7.3,14.29,5.72,12.2,16.3,22.63,4.42,-14.46,-0.6,8.77,8.47,9.32,17.4,29.49,7.04,418,1094.29,3192.8,1203.5,64,304,987.2,258.77,4.82,15,44.38,13.7,13.57,55.8,327.93,67,81,149,269.7,84,3,155,745.07,291,-44.16,-25.7,-10.21,16.1,28.26,34.8,41.02,6.32,336.4,695.08,1313.62,423,0,245,809.4,408.64,50.2,65,79.63,13.25,31,58,79,24,11.12,15.43,22.3,4.45
"Peleli","Peltigera_elisabethae",0,-3.19,4.7,10.89,3.6,12.2,18.3,22.54,3.1,-20.54,-10,0.94,7.25,18.58,28.34,36.2,6.36,357.9,799,1268.8,249,226.8,422,543.8,122,8.78,18.4,29.77,6.65,29.49,43.1,75.04,11.76,76.28,121,169,30.33,25.2,167,398.64,162.5,-49.76,-37.05,-25.68,8.6,27.43,35.7,39.21,2.71,336.4,651.2,1071.2,148,26.2,136,405.6,91.5,52.6,61,69.07,7,35.87,62,70,8,11.3,17.81,22.24,3.47
"Pelmem","Peltigera_membranacea",0.01,-3,5.5,12.38,5.4,10.66,15.1,21.74,4.5,-20.04,-2.3,6.88,11.2,10,17.77,33.86,10.47,432.8,1177,3447,1314.75,93.4,385,1031.2,252,4,12.15,33.32,11,12.31,40.6,219.82,29.7,68.2,138,253.4,71.33,12.8,224,727,297.33,-47.5,-27.3,-11.7,18.97,26.23,32.8,40.32,6.3,262.2,569,1130.4,300,0,107,685.6,220,54.6,67.5,81.91,14,37.6,64,81.6,19,9.86,14.42,21.3,4.68
"Pelneo","Peltigera_neopolydactyla",0.01,-6,4.4,11.4,7.95,10.8,14.85,20.4,3.75,-24.09,-7.1,5.03,16.5,10.82,22.75,37.45,16.25,403.25,1137,3679.75,1128.5,157,466,1138.67,223.5,3.74,10.95,21.55,6.12,11.45,35,87.5,17.68,69,123,234.75,65.25,16.75,288,802.33,274.92,-49.79,-35.1,-13.23,20.31,26.1,31.8,38.09,5.1,234.5,462.5,1079.08,271.5,0,55,318.75,121,57,66,80,10,51.75,66,79.83,13.1,9.67,14.23,20.14,3.85
"Pelpol","Peltigera_polydactyla",0,-10.8,4.8,15.5,6.85,9.76,17.4,25.97,5.92,-28.3,-7.5,6.85,13.15,12.13,26,40.3,11.8,226.5,876,2921.9,638,127.3,447,790.75,222.75,-3.71,15.3,28.52,9.25,15.12,42.7,103.67,15.03,65.15,124,240.2,54.5,4,154,576.35,197,-52.97,-35.73,-14.7,14.36,25.83,34.7,40.87,6.85,188.3,638,1257.5,400,0,118,441.6,125,53,63,77,9,39.3,63,79,10,8.45,16.76,26.95,6.37
"Pelpra","Peltigera_praetextata",0,-1.61,7,15.3,6.25,12.34,19.7,26,4.83,-18.64,-5.4,6.61,9.97,13.99,25.22,34.32,8,446,950,2023.5,404.8,114.7,464.5,632.8,183.33,7.39,18.3,33.58,7.06,25.56,44.3,154.05,12.58,76.52,140.5,228.1,53.25,4,129,522.8,216.75,-46.3,-32,-14.58,10.95,28.76,36.6,41.6,4.42,353.7,743,1251.3,319.75,20,151,661.62,147,53,61,71,6,35.13,61,72.1,8.55,11.01,19.24,27.03,5.47
"Pevcla","Pseudevernia_cladonia",0,2.84,5.8,10.26,3.4,15.19,18.4,21.06,2,-12.54,-7.9,0.67,6.5,18.61,25.66,29.46,4.65,1008.8,1267.6,1680.7,222,448,582.5,793.73,185,8.28,13.2,19.2,2.85,21.13,32.48,45.2,11,106.16,132,165.3,25.67,38.4,256,526.07,244,-39.53,-34.6,-26.66,6.1,32.18,34.13,37.3,2.08,582.6,687,984.1,217,0,45,151.8,82,56,61.47,68.3,6,54.51,60.6,68,6,14.34,17.77,20.78,1.87
"Pevcon","Pseudevernia_consocians",0.01,1.8,7.6,17.92,6.2,14.49,19.1,22.76,2.59,-14.81,-5.5,13.9,10.5,3.19,25.42,32.47,7.72,691.47,1116.5,1599.77,444.88,368.78,524,958.32,192.86,12.16,17.01,28.59,5.82,17.99,38.31,51.42,11.37,105.95,142,318.4,42.88,1,139.5,313.25,189.12,-41.91,-31.6,-7.17,10.81,29.89,35.44,38.5,1.9,551.7,759,1693.49,428.38,15.27,128,854.31,126.48,54.32,60.5,67,5.03,53.76,61,68.5,6.71,13.72,18.62,22.76,2.9
"Pevint","Pseudevernia_intensa",0.01,3.46,11.53,20.64,7.49,11.88,18.82,27.7,5.84,-5.99,4.92,13.67,10.43,2.88,17.38,21.51,8.14,387.73,683.53,1249.13,305.21,202.7,348.83,993.9,199,15.93,29,70.25,14.36,13.41,54.7,141.02,27.66,70.33,170.67,318.58,107.5,0,14,263.05,67.75,-40.27,-23.9,-4.92,16.5,27.03,36.01,43.72,5.41,715.9,1250.4,1654.09,520.71,296.24,606,1222.05,408.52,46.18,53.5,60.93,8.26,28.1,51,66.52,20.56,10.31,18.13,28.5,6.46
"Phaadi","Phaeophyscia_adiastola",0.01,3.59,9.5,15.85,6.16,17.56,22.2,26.67,4.63,-13.52,-4,5.19,8.95,19.53,25.6,33.07,5.2,576.2,1004,1345.7,355.75,308.7,509.5,605.67,89,14.27,20.5,29.38,3.54,34.61,45.5,64.85,7.95,115.3,157,212.75,40.04,3,69,240,95.5,-41.02,-30.3,-21.05,8.46,34.58,38.8,42.02,3.48,624.2,874,1263.7,391.62,63.75,158,450.3,112.33,55,61,65,3.5,52.23,61.5,67.85,5,16.66,22.04,28.02,5.21
"Phacil","Phaeophyscia_ciliata",0.03,3.2,9.25,18.7,7.27,15.06,22.77,27.61,5.5,-14.02,-4.1,9.36,10.1,17.3,27,34.09,8.8,486.6,834,1436.8,411.67,206.8,481,606.73,139.5,14.6,21.4,38.9,6.8,38.02,47.8,94.44,12.05,83.4,155,259.4,51.47,1,54,267.2,91.5,-42.04,-32.1,-15.75,10.8,32.94,39.6,42.9,3.5,602,904,1444.4,415,80.4,207,662.8,179,51,59,64.47,5,39.1,61.67,67.33,6,13.63,22.71,29.66,6.18
"Phaery","Phaeophyscia_erythrocardia",0,4,7.3,12.18,2.05,17.7,20.05,22.2,2.65,-13.62,-7.35,4.02,8.35,15.93,28.15,33,10,574.5,723,845.75,147.75,130.92,413,504.25,168.5,19.5,21.25,41.03,6.18,41.4,47.9,195.32,28.3,121.5,136.5,179,18.75,25,97,154,48.75,-40.68,-33.4,-23.73,7.78,35.65,37.8,38.58,1.95,651.25,773.5,1297,303.5,110.5,165.5,804.5,444,52.25,59,64.5,5.75,45.83,57.5,61.75,8,16.79,19.69,21.85,2.8
"Phahir","Phaeophyscia_hirsuta",0.06,3.95,10.18,19.48,6.78,17.29,23,28.1,4.4,-13.88,-2.32,12.19,10.64,10.97,26.4,34.18,9.2,270.5,612,1105.5,349.75,29,385,577.75,227.25,19.22,30.1,92.74,21.62,40.52,59.4,741.32,37.18,116,157.81,330.5,50.5,0,30,134.81,71.75,-41.58,-32.2,-4.7,10.77,35.52,40.5,44.6,3.03,678.5,974,1602.25,438.46,99.75,365.5,1206.5,508.62,48,57,65.38,7,34.5,59.5,67,10,16.43,22.85,30.07,4.99
"Phahis","Phaeophyscia_hispidula",0.01,1.96,8.6,18.32,8.6,13.75,19.6,26.1,4.8,-14.54,-1.5,13.05,14,5.64,20.9,32.7,11.06,369,728.5,1341.6,323,169.2,404,738,189,13.26,22.6,64.28,17.12,25.56,47.4,120.82,26.73,83,148,319,75,0,59.67,277.07,138,-43.88,-31.63,-5.59,16.01,30.54,36.8,41.7,3.9,526.4,940,1632.67,665,73,350,1136,620.67,46.28,56.79,65.7,9,29,57.2,67.7,16,12.33,19.28,27.17,5.28
"Phahrt","Phaeophyscia_hirtella",0,3.47,11.6,16.25,7.67,17.7,23.3,27.8,5.35,-13.95,-1.5,5.95,11.23,18.23,26.4,33.75,6.45,522.25,905,1236,323.83,307,503,597.33,120.25,15.62,20.9,37.72,3.32,37.73,45.5,71.42,8.1,114,172,225.5,47.83,2,29,252,98,-41.25,-28.6,-18.8,10.35,35.05,39.7,43.1,3.5,631,978,1359.25,471.5,77,173,723.5,118.67,52.5,60,64.75,3.17,42.5,62,68,5,17.12,23.28,29.26,5.97
"Phains","Phaeophyscia_insignis",0,5.2,12.7,15.82,4.55,20.96,24.9,27.45,2.4,-13,-1.1,5.42,6.55,19.38,26.99,33.38,4.9,541.2,947,1200.6,390,343,522,603.4,128,19.4,23.4,36.52,6.1,40.8,48.05,64.52,9.5,136.9,176.5,211.6,31,2.8,20,82.2,37.5,-39.84,-27.9,-20.36,8.1,38.74,40.9,43.82,1.8,701.6,1039,1311,265,92.9,212.5,679,137,53.8,59,63.2,3,57.64,63,67.2,4,20.7,24.99,28.93,3.46
"Phakai","Phaeophyscia_kairamoi",0,-2.5,6.8,17.55,8.15,12.65,19,27.45,7.2,-20.25,-6.6,11.95,9.95,12.6,24.7,36.8,7.82,212.5,537,1123,429.5,23.5,321,512,238.5,10.1,26,101.15,27.38,29.3,56.1,805.35,67.75,63.5,139,312,57,0,98,436.5,199.5,-47.25,-35.5,-6.8,10.95,28.5,36.5,43.72,6.8,347.5,800,1467,534,36,218,1126.5,530.5,47.5,58,69,10,26.5,59,72,16.25,11.3,18.73,27.62,7.77
"Phanig","Phaeophyscia_nigricans",0.01,2.37,6.9,15.97,3.83,14.31,21.75,25.32,4.4,-13.95,-5.3,7.39,7.84,17.26,26.25,34.56,9.35,212.2,503,857.1,192.85,65.58,291.83,434.65,173.06,14.35,32,107.85,15.12,49.34,69.95,415.47,38.02,62.05,139,258.92,29.75,1.35,56.5,350.4,54.67,-43.3,-35.98,-13.01,7.18,32.87,40.2,43.33,3.18,589.05,806,1370,224,184.32,393.25,1155.5,302.25,47.78,55,62,5.55,26.7,53.5,63,17.12,12.94,21.46,25.03,5.07
"Phaorb","Phaeophyscia_orbicularis",0.03,2.2,7.9,16.18,5.9,14.69,20.75,25.9,4.47,-14.62,-4.8,8.82,8.45,13.04,25,33.89,7.13,353.5,797.5,1329.5,454.75,48.25,396.5,582.25,233,12.67,21.6,64.35,12.22,33.39,51,501.48,31.53,85.25,146,285.75,49.5,1.9,78.5,341.5,124.84,-43.41,-32.25,-10.47,10.8,32.05,38.12,42.8,4.4,527,799.75,1355.25,340.25,50,223.5,911,333.1,50,60,69.25,7.12,30,60,71,15,13.25,20.45,26.42,4.86
"Phapus","Phaeophyscia_pusilloides",0.1,3.15,7.8,16.33,7.4,17,21.5,26.7,5.7,-14.43,-5.9,6.24,10,19.48,26.98,33.75,5.31,606.75,954,1381.25,344.42,377.75,492,619.12,99.62,12.68,20,26.65,4.1,33.58,44.45,56.2,8.71,112.44,148,225.04,50.62,2,88,327.12,153.62,-41.41,-32,-19.2,9.79,34.4,38.3,41.88,4.21,588.69,782,1290.62,366.96,40.75,156.33,339.75,91.12,55.72,61,66,4.08,55,62.77,68,5.5,16.42,21.32,27.96,6.28
"Pharub","Phaeophyscia_rubropulchra",0.21,3.5,8.96,18.41,6.98,17.65,21.9,27.4,5.66,-13.11,-4.25,8.2,9.16,18.9,25.63,31.74,5.3,758.94,1095.25,1457.93,338.88,387.5,506.25,624,78.75,12.58,19.4,22.93,4.45,34.1,44.3,53.8,8.6,116.25,156,247.38,47.62,1,81.75,334.38,154.38,-39.45,-30.4,-17.22,8.63,34.51,38.11,41.6,4.1,599.42,841,1397.75,429.42,33.88,146.5,332.5,104.55,57,61.5,68,3.33,55,63,69,5,17.21,21.77,29.15,6.26
"Phoame","Physconia_americana",0.03,4.75,11.72,16.64,6.3,14.38,21,26.02,4.23,-5.27,4.75,10.06,7.96,10.22,17.67,21.55,4.37,311.2,887.25,2281.35,515.92,20.55,92.33,383.65,109.17,7.96,26.52,75.84,21.37,41.07,239.47,1282.25,418.64,116.83,195.5,342.05,119.75,1.5,24,578.2,87.5,-33.24,-17.55,-5.11,13.28,33.16,39.77,45.07,4.26,601.35,1062.83,1391,397.62,151.5,662.75,1078.9,352,52.11,60.21,70,6.5,37,49,66.9,12.75,13.59,20.35,26.12,4.37
"Phocal","Physconia_californica",0,11.23,13.85,17.76,3.15,20.58,21.98,24.6,2.75,3.47,6.43,13.2,5.04,9.66,15.07,17.7,4.01,312.95,667,1233.65,295.38,17.8,47,113.85,34.38,19.7,35.52,136.21,22.86,198.31,461.55,1459.56,464,174.9,234.25,363.7,139.12,0.65,9.25,51.7,12.25,-19.16,-14.73,-0.47,12.59,39.09,41.45,45.02,2.34,1047.85,1222.25,1457.28,124.88,642.75,819.75,1182.8,82.25,54.65,58,67.4,6.25,37.9,47.75,61.22,11,19.88,21.33,24.54,3.07
"Phodet","Physconia_detersa",0.02,0.69,6.25,14.6,3.8,13.79,19.4,24.7,3.22,-16.11,-7.5,6.7,6.72,16.14,27.2,33.92,6.32,369.4,825.71,1294.6,305.92,59,436,569.1,164,11.25,19.55,51.15,6.77,32.1,45.27,416.25,14.03,78.92,132,239.6,32,3,137.29,376.7,147.38,-44.64,-34.65,-14.3,7.12,30.7,36.6,41.71,3.3,428.4,711,1258.3,193.7,35.6,154,835.4,128.5,51.95,60.5,68.1,6.35,36.93,61,70,9,12.62,19,24.55,3.38
"Phoele","Physconia_elegantula",0,5.33,8.75,16.04,4.28,17.32,20.9,25.36,3.35,-5.42,-0.6,6.35,5.81,17.16,21.2,26.6,4.79,277.3,535.75,716.09,187.94,112.65,226.5,362.85,140.94,26.01,36.98,96.44,13.96,55.52,91.85,231.21,61.47,98.7,143,236.91,50.92,2,42.5,156.75,51.12,-37.8,-30.55,-16.25,8.72,35.26,38,43.98,3.54,781.75,1032.12,1331.57,316.38,360.7,617.83,1050,186.12,46.85,52.67,59.36,6,29.98,42.5,58.3,18,15.79,20.53,25.5,3.7
"Phoent","Physconia_enteroxantha",0.04,3.2,9,16.55,6.3,14.9,20.5,25.5,4.4,-9.5,-1.1,11.57,9.9,10.1,21,29.8,5.75,230.5,595,1282,430,20,175.4,528,217.83,13,31.9,95.2,26.3,38.8,107.91,1095.12,209.55,73,147.5,343,77,1,49.6,368,135.67,-40.4,-28.1,-4.8,15.6,33.5,38.75,44.25,4.5,594,932.5,1411,382.5,86,567,1090,454.85,48,58,69.33,9,28,48,71.62,17,13.3,19.94,25.39,4.94
"Phofal","Physconia_fallax",0,7.76,13.88,17.52,3.3,16.02,22.5,26,3.7,-0.64,7,13.2,4.75,5.72,15.25,20.1,4.3,287.8,571.5,1199.6,337.5,10.6,47,123,39,14.9,42.9,121.52,23.35,168.6,483.7,1862.72,517.3,130,230.5,363.4,149.5,0,5,166,14,-27.48,-14.1,0.45,13.4,34.74,41.6,44.52,4.9,851.2,1206,1432.8,257,525.4,865,1120.8,281.6,52.8,59,68.6,8,37,51,73.4,16,15.46,21.77,25.93,4.31
"Phoisi","Physconia_isidiigera",0.03,4.61,12.44,17.34,8,15.76,21.05,26.3,4.24,-8.22,4.71,12.9,11.48,7.91,18.4,27.7,9.57,185.3,513.33,1212.45,396.38,16.18,75.67,452.12,147.62,16.03,43.52,145.25,37.19,41.75,319.2,1463.54,785.65,99.85,197.75,359.9,157.67,0,16.95,251.15,86.25,-37.6,-18.62,-1.9,21.49,33.95,39.68,44.51,5.43,654.4,1100.5,1510.9,422.16,140.7,736.67,1273.15,438.5,50,58,69.29,8.15,29.55,50.9,73.45,15.25,14.68,20.56,26.46,4.72
"Pholeu","Physconia_leucoleiptes",0.01,3.5,8.1,14.49,6.44,18.41,22.23,26.2,4.54,-14.49,-6.47,2.6,9.25,21.43,28.45,34.2,5.85,482.78,867.75,1214.95,334.38,288.85,492,595.96,100.58,15.1,21.05,35.2,4.01,38.21,45.25,70.81,7.8,117.81,151.33,192.95,44.88,6.73,75.25,230.92,86.94,-41.6,-33.51,-24.22,9.71,35.6,39.5,42.09,3.3,638.1,822.88,1217.97,326.12,86,158.17,448.9,103.66,54.02,60,64.65,4,51.05,62,67.47,5,17.99,22.05,27.36,5.01
"Phoper","Physconia_perisidiosa",0.04,1.94,7.3,15.27,6.08,13.84,19.4,24.26,4.33,-12.54,-3.2,9.31,9.45,11.38,21.37,31.46,7.06,322.2,671,1338,388,23,224.6,492,243.11,11.24,26.1,65.98,21.5,36.43,82,905.22,137.7,73.4,137.5,319.9,58,2,93,384.6,175.5,-41.25,-31.7,-8.18,13.1,30.97,37.1,42.7,4.05,488.2,804.6,1291.2,386,89.2,449,950.4,482,48.24,58,67.9,8.6,28.57,49,69,20.5,12.42,18.78,24.07,4.78
"Phyads","Physcia_adscendens",0.19,1.48,6.7,15.62,4.5,13.67,19.7,24.33,4.41,-15.53,-6,9.91,7.58,11.3,25.86,34.32,8.52,311.25,748.24,1328.25,382.67,24,369.23,525.25,231.29,10.97,21.6,61.01,12.88,35.12,52.25,946.29,40.06,70.25,137.75,310.88,39.5,1.44,100.61,362.5,130.59,-44.3,-34.67,-8.19,9.61,30.87,37.1,42.73,4.31,441.25,740.5,1283.75,230.75,54.62,206.5,909.23,318.5,49.19,59.5,71.89,9.62,30,59.58,73,15.11,12.37,19.36,24.2,4.81
"Phyaip","Physcia_aipolia",0.12,-6.01,7.75,19.4,7.42,12.58,20.82,28.11,5.82,-24.2,-5.3,11.11,11.2,13.29,26.55,36.7,9.4,292.55,801.18,1372,404.2,86,417.5,594.94,213.5,6.9,21.45,56.43,10.67,33.1,49.52,259.31,26.56,77.43,146,302.45,60.5,0,81.25,346.15,133.81,-49.23,-33.35,-9.29,12.2,28.17,38.25,43.91,5.29,290.8,789,1511.21,408.38,51.85,189.17,923.9,266.75,51,60,70,6,37.5,62,72,8,11.46,20.51,30.17,6.63
"Phyaln","Physcia_alnophila",0,-9.23,3.05,12.32,10.47,10.63,15.9,22.97,6,-24.66,-8.15,6.04,16.67,14.79,24.95,38.77,12.67,303.05,708.5,1835.1,624,141,303.5,555.25,228.5,1.73,14.25,55.39,12.35,21.63,49.2,125.86,50.33,62.1,106.5,220.9,67.5,15.15,199,698.7,197.88,-56.1,-40.15,-13.91,22.18,25.59,32.85,40.91,8.2,199,558.5,1201.2,414,5.6,147.5,815.6,278,51.35,61,69.3,7,37.05,61.5,71.9,11.75,9.52,15.32,22.67,6.86
"Phyame","Physcia_americana",0.04,5.77,14,20.7,7.15,20.46,25.8,28.53,3.84,-10.93,2.1,12.14,10.77,15.82,23.3,31.63,7.89,708.8,1154.17,1565.6,382.67,411.7,533,761.3,94.88,17.67,20.9,28.99,2.9,35.56,45.9,61.68,8.22,133.2,186.75,307,77.33,0,9,110.6,35.5,-38.06,-24.9,-10.74,11.55,37.17,40.24,42.7,2.17,700,1167.33,1512.45,416.5,82.7,212.67,434.5,150.75,57,61,69,3,57.07,64,72,4.5,20.17,26.15,31.75,5.47
"Phybiz","Physcia_biziana",0.09,3.32,9.92,22.17,8.71,14.9,21.8,28.78,5.56,-10.37,-0.05,16.52,11.75,9.64,20.1,32.12,6.18,194.2,480,971.67,279.38,22.33,212.42,436,205.38,16.44,42.65,142.83,34.58,48.02,102.88,1124.08,123.82,71.6,158.5,345.49,113.62,0,27.5,343.55,79,-40.58,-27.65,1.72,20.84,33.01,39.7,45.47,5.19,620.8,1014,1815.9,560.88,226.15,659.25,1478.66,515.88,47,55,65,7.08,28,50,66,18.1,13.34,21.28,31.03,6.26
